first name,Last_Name,DOB,status,Homeroom,Parent Name,parent_email,Parent Phone,Allergies,FRP Category,Family Income,Subsidy,KinderConnect ID,Notes
Joseph,King,7/20/2021,ACTIVE,Preschool,"King, Michael",king.joseph@email.com,(555) 1180,,reduced price,"$35,001-$50,000",T,987654354,Check authorization renewal date
Mila,Wright,5/5/2022,active,Pre-K,Maria W.,wright.mila@email.com,(555) 5933,peanuts; dairy,FREE,"$25,001-$35,000",yes,987654355,
Daniel,Scott,4/16/2021,Active,Preschool,Lisa S.,scott.daniel@email.com,-9621,soy,reduced price,$45k-$60k,Yes,987654356,Parent prefers text communication
Aria,Torres,4/4/2022,ACTIVE,Infants,Lisa Torres,torres.aria@email.com,(555) 6912,soy,Reduced,$50k-$65k,TRUE,987654357,Auth expires soon
Carter,Nguyen,12/20/2021,ACTIVE,Preschool,John N.,nguyen.carter@email.com,555-5878,none,P,Over $75k,Y,987654358,Sibling in Pre-K room
Scarlett,Hill,6/16/2022,Active,Preschool,"Hill, David",hill.scarlett@email.com,555-3955,None,reduced price,$50k-$65k,TRUE,987654359,
Owen,Flores,9/14/2021,active,Infants,"Flores, Lisa",flores.owen@email.com,-10338,shellfish,full price,Over $75k,Yes,987654360,
Penelope,Green,2/22/2021,ACTIVE,Pre-K,Maria Green,green.penelope@email.com,5556173,peanuts; dairy,free,Low income,Yes,987654361,
Wyatt,Adams,7/25/2021,Active,Preschool,Maria A.,adams.wyatt@email.com,(555) 1863,peanuts,Reduced,$50k-$65k,Y,987654362,Check authorization renewal date
Layla,Nelson,7/20/2022,Active,Pre-K,John Nelson,nelson.layla@email.com,5555416,dairy,REDUCED,Middle income,YES,987654363,???
John,Baker,5/17/2021,ACTIVE,Toddlers,Lisa B.,baker.john@email.com,(555) 4863,NONE,P,$75k-$100k,Yes,987654364,Parent prefers text communication
Chloe,Hall,2/25/2022,active,Preschool,John Hall,hall.chloe@email.com,-6679,peanuts,reduced price,$45k-$60k,TRUE,987654365,Sibling in Pre-K room
Dylan,Rivera,5/9/2022,ACTIVE,Pre-K,"Rivera, John",rivera.dylan@email.com,5557551,peanuts; dairy,F,Under $30k,T,987654366,
Victoria,Campbell,6/2/2021,active,Infants,"Campbell, David",campbell.victoria@email.com,(555) 1996,dairy,REDUCED,"$35,001-$50,000",YES,987654367,See admin notes
Luke,Mitchell,1/5/2022,ACTIVE,Infants,Carlos M.,mitchell.luke@email.com,555-8872,shellfish,Free,Under $30k,T,987654368,Verify income bracket
Madison,Carter,11/8/2021,active,Preschool,Carlos C.,carter.madison@email.com,(555) 8335,peanuts; dairy,R,"$35,001-$50,000",Yes,987654369,See admin notes
Gabriel,Roberts,9/15/2021,active,Infants,Lisa Roberts,roberts.gabriel@email.com,-3566,peanuts; dairy,full price,$85k+,yes,987654370,All good
